#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
<code>const</code> prevents what, exactly?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const arr = [1];<br>arr.push(2);   // ?<br>arr = [2];     // ?</pre>	<p style="text-align:left"><code>arr.push(2)</code> is <b>legal</b>. <code>arr = [2]</code> throws <code>TypeError: Assignment to constant variable.</code></p><p style="text-align:left"><code>const</code> freezes the <b>binding</b> (which value the name points at), never the value itself. Mutating the object or array is always allowed.</p>	m1 scope
Why can't you assign to an imported binding?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">// posts.js<br>export const posts = [ ... ];<br><br>// postRepo.js<br>import { posts } from &#x27;./posts.js&#x27;;<br>posts = posts.filter(p =&gt; p.id !== id);  // TypeError</pre>	<p style="text-align:left">ES module imports are <b>read-only bindings</b> — the importing file can never rebind the name. Combined with <code>export const</code>, assignment throws <code>TypeError: Assignment to constant variable.</code></p><p style="text-align:left"><b>Fix:</b> mutate the array in place instead — <code>posts.splice(index, 1)</code>, <code>posts.push(x)</code>, or <code>posts.length = 0</code>.</p>	m1 m2 modules scope
Trace the output:<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">for (var i = 0; i &lt; 3; i++) setTimeout(() =&gt; console.log(i));<br>for (let i = 0; i &lt; 3; i++) setTimeout(() =&gt; console.log(i));</pre>	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">var:  3 3 3<br>let:  0 1 2</pre><p style="text-align:left"><code>var i</code> is <b>one</b> function-scoped binding shared by all three callbacks; by the time the timers fire the loop has finished and <code>i</code> is 3. <code>let i</code> creates a <b>fresh binding per iteration</b>.</p>	m1 scope trace
<code>for...of</code> vs <code>for...in</code> on an array — what does the loop variable hold?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">for (const p of products) // p = the ELEMENT (the value)<br>for (const i in products) // i = the KEY/INDEX, as a STRING &quot;0&quot;,&quot;1&quot;</pre><p style="text-align:left"><code>for...in</code> iterates enumerable <b>keys</b>, including inherited ones. Classic bug: <code>i + 1</code> on an array index gives <code>"01"</code> because <code>i</code> is a string.</p>	m1 loops trace
Why does this return an array of <code>undefined</code>?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">arr.map(x =&gt; { x * 2 });</pre>	<p style="text-align:left">An arrow function with a <b>block body</b> <code>{ }</code> needs an explicit <code>return</code>. Without one it returns <code>undefined</code>.</p><p style="text-align:left"><b>Fixes:</b> <code>arr.map(x => x * 2)</code> (concise body, implicit return) or <code>arr.map(x => { return x * 2; })</code>.</p>	m1 functions trace
Why does this need parentheses?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">arr.map(x =&gt; ({ id: x }));</pre>	<p style="text-align:left">Without them, <code>{</code> is read as the start of a <b>function body block</b>, not an object literal, so the function returns <code>undefined</code>. Wrapping in <code>( )</code> forces it to be parsed as an expression.</p>	m1 functions
Function declaration vs function expression — which can you call before its line?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">greet();                      // works — fully hoisted<br>function greet() { }<br><br>hello();                      // ReferenceError (TDZ)<br>const hello = () =&gt; { };</pre><p style="text-align:left"><b>Declarations</b> are hoisted whole and callable earlier. <b>Expressions</b> (including arrows) are only assigned when execution reaches the line.</p>	m1 functions
What does an arrow function NOT have?	<p style="text-align:left">No own <code>this</code> (it inherits <code>this</code> lexically from the enclosing scope), no <code>arguments</code> object, and it cannot be used as a constructor with <code>new</code>.</p>	m1 functions
<code>==</code> vs <code>===</code>	<p style="text-align:left"><code>==</code> coerces types before comparing: <code>0 == "0"</code> is <code>true</code>, <code>null == undefined</code> is <code>true</code>.</p><p style="text-align:left"><code>===</code> compares type <b>and</b> value with no coercion. Default to <code>===</code>.</p>	m1 equality
Primitive types vs reference types in JavaScript	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">Primitive: String, Number, Boolean, Undefined,<br>           Null, Symbol, BigInt<br>           -&gt; copied BY VALUE<br><br>Reference: Object, Array, Function<br>           -&gt; copied BY REFERENCE (both names<br>              point at the same thing)</pre>	m1 types
What is Node.js, in the one sentence a quiz wants?	<p style="text-align:left">The V8 JavaScript engine running <b>outside the browser</b>, with an <b>event-driven, non-blocking I/O</b> model — long operations are handed off and the main thread keeps going.</p>	m2 node
What is wrong, and what is the visible symptom?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const posts = readPosts();<br>console.log(posts.length);</pre>	<p style="text-align:left">Missing <code>await</code>. <code>posts</code> is a <b>pending Promise object</b>, not the data, so <code>posts.length</code> is <code>undefined</code>.</p><p style="text-align:left"><b>Symptom to name on the quiz:</b> logging it shows <code>Promise { &lt;pending&gt; }</code>, or a property reads <code>undefined</code>.</p><p style="text-align:left"><b>Fix:</b> <code>const posts = await readPosts();</code> inside an <code>async</code> function.</p>	m2 async
What error does this produce?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">function getPosts() {<br>  const data = await fs.readFile(&#x27;p.json&#x27;, &#x27;utf8&#x27;);<br>}</pre>	<p style="text-align:left"><b>SyntaxError.</b> <code>await</code> is only legal inside an <code>async</code> function — or at the top level of an <b>ES module</b>.</p><p style="text-align:left"><b>Fix:</b> <code>async function getPosts() { ... }</code></p>	m2 async
What does an <code>async</code> function return?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">async function getCount() { return 5; }<br>const n = getCount();</pre>	<p style="text-align:left"><code>n</code> is a <b>Promise</b>, not <code>5</code>. An <code>async</code> function <i>always</i> returns a Promise; the <code>return</code> value becomes its resolved value.</p><p style="text-align:left"><b>Fix:</b> <code>const n = await getCount();</code></p>	m2 async
Why does this function return <code>undefined</code>?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">function readPosts() {<br>  fs.readFile(&#x27;posts.json&#x27;, &#x27;utf8&#x27;, (err, data) =&gt; {<br>    return JSON.parse(data);<br>  });<br>}</pre>	<p style="text-align:left">The <code>return</code> belongs to the <b>callback</b>, not to <code>readPosts</code>. <code>readPosts</code> reaches its closing brace and returns <code>undefined</code> immediately, long before the file is read.</p><p style="text-align:left"><b>Fix:</b> use <code>fs/promises</code> with <code>async/await</code>, or accept a callback parameter and invoke it with the result.</p>	m2 async callbacks
Trace the exact output:<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">console.log(&#x27;1&#x27;);<br>setTimeout(() =&gt; console.log(&#x27;2&#x27;), 0);<br>Promise.resolve().then(() =&gt; console.log(&#x27;3&#x27;));<br>console.log(&#x27;4&#x27;);</pre>	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">1<br>4<br>3<br>2</pre><p style="text-align:left">Synchronous code first (1, 4). Then <b>microtasks</b> — Promise callbacks — drain (3). Then <b>macrotasks</b> — timers and I/O (2). A <code>setTimeout(..., 0)</code> never beats a resolved Promise.</p>	m2 async trace eventloop
Callback vs Promise vs async/await — one line each.	<p style="text-align:left"><b>Callback:</b> a function passed <i>into</i> an async operation, invoked automatically when it finishes.</p><p style="text-align:left"><b>Promise:</b> an object returned <i>immediately</i> that stands in for a future result; the value is reachable only once it settles.</p><p style="text-align:left"><b>async/await:</b> syntactic sugar over Promises. <code>await</code> pauses inside an <code>async</code> function until the Promise settles and unwraps the value.</p>	m2 async
Why avoid <code>fs.readFileSync()</code> in a server route?	<p style="text-align:left">It <b>blocks the event loop</b> — no other request is served for the whole duration of the read. Use <code>await fs.readFile()</code> from <code>node:fs/promises</code>.</p>	m2 async
CommonJS vs ES Modules — syntax, enabling, and <code>__dirname</code>.	<table style="margin:auto"><tr><th>CommonJS</th><th>ES Modules</th></tr><tr><td><code>const x = require('./x.js')</code></td><td><code>import x from './x.js'</code></td></tr><tr><td><code>module.exports = x</code></td><td><code>export default x</code></td></tr><tr><td>Node default</td><td>needs <code>"type": "module"</code> or <code>.mjs</code></td></tr><tr><td><code>__dirname</code></td><td><code>import.meta.dirname</code></td></tr><tr><td>loaded at runtime, conditional OK</td><td>static, hoisted</td></tr></table>	m2 modules
What throws <code>ERR_MODULE_NOT_FOUND</code> here?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">import postRoutes from &#x27;./routes/postRoutes&#x27;;</pre>	<p style="text-align:left">The missing <b><code>.js</code> extension</b>. Node's ES module resolver requires the full filename; unlike CommonJS it does not guess.</p>	m2 modules
Why does this export nothing?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">exports = { a: 1 };</pre>	<p style="text-align:left">Reassigning <code>exports</code> breaks its link to <code>module.exports</code>, which is what Node actually reads.</p><p style="text-align:left"><b>Fix:</b> <code>module.exports = { a: 1 };</code> — or assign a property, <code>exports.a = 1;</code></p>	m2 modules
<code>dependencies</code> vs <code>devDependencies</code> — and a quiz-plausible bug.	<p style="text-align:left"><b>dependencies:</b> needed to <i>run</i> in production — <code>express</code>, <code>morgan</code>. Installed by <code>npm install pkg</code>.</p><p style="text-align:left"><b>devDependencies:</b> needed only to <i>develop</i> — <code>eslint</code>, <code>prettier</code>, <code>nodemon</code>. Installed by <code>npm install -D pkg</code>.</p><p style="text-align:left"><b>The bug:</b> <code>express</code> listed under devDependencies. <code>npm install --production</code> then skips it and the server crashes on import.</p>	m2 npm
In <code>package.json</code> scripts, which side is the name and which is the command?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">&quot;scripts&quot;: {<br>  &quot;lint&quot;: &quot;eslint src&quot;<br>}<br>//  KEY = the name you type after `npm run`<br>//  VALUE = the shell command that runs</pre><p style="text-align:left">Writing <code>"eslint src": "npm run lint"</code> defines a script <i>named</i> <code>eslint src</code> that calls itself, and <code>npm run lint</code> reports <code>Missing script: "lint"</code>.</p>	m2 npm
Why is <code>req.body</code> undefined?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">app.post(&#x27;/api/products&#x27;, (req, res) =&gt; {<br>  const { name } = req.body;<br>});</pre>	<p style="text-align:left">Missing the body-parsing middleware. Without it <code>req.body</code> is <code>undefined</code> and destructuring throws <code>TypeError: Cannot destructure property 'name' of 'req.body' as it is undefined.</code></p><p style="text-align:left"><b>Fix:</b> <code>app.use(express.json());</code> — registered <b>before</b> the routes.</p>	m3 express middleware
Route order: given this registration, what does <code>GET /posts/new</code> hit? What about <code>GET /posts</code>?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">app.get(&#x27;/posts/:id&#x27;, handlerA);<br>app.get(&#x27;/posts/new&#x27;, handlerB);<br>app.get(&#x27;/posts&#x27;,     handlerC);</pre>	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">GET /posts/new  -&gt; handlerA, with req.params.id === &quot;new&quot;<br>GET /posts      -&gt; handlerC  (NOT captured)</pre><p style="text-align:left">Express matches <b>top to bottom, first match wins</b>. <code>/posts/:id</code> shadows any <b>literal sibling at the same depth</b>, so <code>handlerB</code> is unreachable.</p><p style="text-align:left"><b>But <code>/posts</code> is safe</b> — <code>:id</code> requires a path segment to fill, and <code>/posts</code> has nothing after the slash.</p><p style="text-align:left"><b>Fix:</b> register the specific literal route <i>above</i> the parameterized one.</p>	m3 express routing
Which routes are shadowed by <code>app.get('/posts/:id', ...)</code> if it is registered first?	<p style="text-align:left"><b>Shadowed:</b> every literal one-segment sibling — <code>/posts/new</code>, <code>/posts/search</code>, <code>/posts/count</code>. Each arrives as <code>req.params.id = "new"</code> etc.</p><p style="text-align:left"><b>Not shadowed:</b> <code>/posts</code> (no segment to fill <code>:id</code>), <code>/posts/5/comments</code> (two segments, different depth), and anything on a <b>different HTTP method</b> — <code>POST /posts/new</code> is unaffected by a <code>GET</code> route.</p>	m3 express routing
<code>req.params</code> vs <code>req.query</code> vs <code>req.body</code> — source and type.	<table style="margin:auto"><tr><th></th><th>Source</th><th>Type</th></tr><tr><td><code>req.params</code></td><td>the <code>:name</code> slots in the path<br><code>/posts/5</code></td><td>always <b>string</b></td></tr><tr><td><code>req.query</code></td><td>after the <code>?</code><br><code>/posts?limit=10</code></td><td>always <b>string</b></td></tr><tr><td><code>req.body</code></td><td>the request payload<br>(needs <code>express.json()</code>)</td><td>parsed <b>JSON types</b></td></tr></table>	m3 express
Why does this never match?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">const post = posts.find(p =&gt; p.id === req.params.id);</pre>	<p style="text-align:left"><code>p.id</code> is the <b>number</b> <code>5</code>; <code>req.params.id</code> is the <b>string</b> <code>"5"</code>. <code>===</code> compares type as well as value, so it is always false.</p><p style="text-align:left"><b>Fix:</b> <code>parseInt(req.params.id, 10)</code> or <code>Number(req.params.id)</code>.</p>	m3 express
What runtime error does this cause?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">if (!post) res.status(404).json({ error: &#x27;Not found&#x27; });<br>res.json(post);</pre>	<p style="text-align:left"><code>Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client.</code> Both lines run — the <code>if</code> has no <code>return</code> and no <code>else</code> — and a handler may send exactly <b>one</b> response.</p><p style="text-align:left"><b>Fix:</b> <code>return res.status(404)...</code>, or wrap the second line in <code>else</code>.</p>	m3 express trace
Why does this request hang forever?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">app.use((req, res, next) =&gt; {<br>  console.log(req.method, req.url);<br>});</pre>	<p style="text-align:left">The middleware neither calls <code>next()</code> nor sends a response, so the request is never passed on and never answered.</p><p style="text-align:left"><b>The rule:</b> every middleware must do <b>exactly one</b> of — call <code>next()</code>, or send a response. Doing both causes the headers-sent error.</p>	m3 express middleware
What does <code>next(err)</code> do differently from <code>next()</code>?	<p style="text-align:left"><code>next()</code> continues to the next middleware in order.</p><p style="text-align:left"><code>next(err)</code> — <b>any</b> argument — skips every remaining normal middleware and jumps straight to the error-handling middleware.</p>	m3 express middleware
Why is this error handler never called?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">app.use((err, req, res) =&gt; {<br>  res.status(500).json({ error: err.message });<br>});</pre>	<p style="text-align:left">Express identifies an error handler <b>solely by its four parameters</b>. With three it is registered as ordinary middleware, and <code>err</code> silently receives the <i>request</i> object.</p><p style="text-align:left"><b>Fix:</b> keep all four, even if <code>next</code> is unused:</p><pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">app.use((err, req, res, next) =&gt; {<br>  res.status(err.status || 500).json({ errors: [err.message] });<br>});</pre>	m3 express errors
Express 4 vs Express 5: what happens to a rejected Promise in an async route handler?	<p style="text-align:left"><b>Express 4:</b> not caught. The request hangs. You must wrap the body in <code>try/catch</code> and call <code>next(err)</code>.</p><p style="text-align:left"><b>Express 5:</b> a rejected Promise from an async handler is forwarded to the error handler automatically.</p>	m3 express errors
Where must a catch-all 404 handler and the error handler be registered?	<p style="text-align:left"><b>Last</b>, after every route. Express matches top to bottom, so a catch-all registered early would swallow every request before the real routes see it.</p>	m3 express routing
Status codes: 200, 201, 204, 400, 401, 403, 404, 500 — when does each apply?	<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">200 OK                    successful GET / PUT<br>201 Created               successful POST that creates<br>204 No Content            successful DELETE, EMPTY body<br>400 Bad Request           client validation failed<br>401 Unauthorized          not authenticated<br>403 Forbidden             authenticated, not allowed<br>404 Not Found             resource does not exist<br>500 Internal Server Error unhandled server fault</pre>	m3 m4 http
Why is <code>res.status(204).json({ id: 5 })</code> a bug?	<p style="text-align:left">204 means <b>No Content</b> by definition, so the body is dropped and the client gets nothing. Either send <code>res.status(204).send()</code> with no body, or use <code>res.status(200).json(...)</code> if you want to return the object.</p>	m3 m4 http
Does <code>app.listen()</code> have to come last?	<p style="text-align:left"><b>Functionally, no</b> — <code>listen</code> is non-blocking, and routes registered after it still work. <b>But the expected answer</b> is: all <code>app.use</code> and routes first, <code>app.listen()</code> last. Write it that way.</p>	m3 express
RESTful URL design — state the rule and fix each of these.<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">GET  /api/getAllProducts<br>POST /api/createProduct<br>GET  /api/deleteProduct/5<br>POST /api/products/5/update</pre>	<p style="text-align:left"><b>Rule:</b> resources are <b>plural nouns</b>; the verb lives in the <b>HTTP method</b>, never the path.</p><pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">GET    /api/products<br>POST   /api/products<br>DELETE /api/products/5<br>PUT    /api/products/5</pre><p style="text-align:left">Hierarchy nests: <code>/api/posts/5/comments</code>. Filtering and paging go in the <b>query string</b>, not the path.</p>	m4 rest
Which HTTP methods are idempotent? Define the term.	<p style="text-align:left"><b>Idempotent:</b> making the identical request N times leaves the server in the same state as making it once.</p><table style="margin:auto"><tr><th>Method</th><th>Idempotent?</th><th>Safe?</th></tr><tr><td>GET</td><td>yes</td><td>yes</td></tr><tr><td>PUT</td><td>yes</td><td>no</td></tr><tr><td>DELETE</td><td>yes</td><td>no</td></tr><tr><td>POST</td><td><b>no</b></td><td>no</td></tr><tr><td>PATCH</td><td>not guaranteed</td><td>no</td></tr></table><p style="text-align:left">DELETE stays idempotent even though the 2nd call returns 404 — <b>state</b> is what must match, not the status code.</p>	m4 rest
Layered architecture: what does each layer own, and what must it never touch?	<table style="margin:auto"><tr><th>Layer</th><th>Owns</th><th>Never touches</th></tr><tr><td>Routes</td><td>URL &rarr; middleware &rarr; controller</td><td>logic, data</td></tr><tr><td>Validation MW</td><td>inspect req, send 400, stop</td><td>business rules, data</td></tr><tr><td>Controller</td><td>read req, cast types, set status, res.json()</td><td>business rules, the array</td></tr><tr><td>Service</td><td>business logic and rules</td><td><code>req</code> / <code>res</code></td></tr><tr><td>Repository</td><td>CRUD on the array</td><td><code>req</code> / <code>res</code></td></tr></table><p style="text-align:left"><b>Recite this:</b> <code>req</code> and <code>res</code> stop at the controller; the data array stops at the repository.</p>	m4 layers
Name the layering violation:<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">// services/productService.js<br>export function getProduct(req, res) {<br>  res.json(products.find(p =&gt; p.id === req.params.id));<br>}</pre>	<p style="text-align:left">The <b>service layer is touching <code>req</code> and <code>res</code></b>, and reaching into the data array directly. A service takes plain values and returns plain values.</p><p style="text-align:left"><b>Fix:</b> <code>getProduct(id)</code> calls the repository and returns the post; the controller does the <code>req</code>/<code>res</code> work.</p>	m4 layers
Name the layering violation:<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">// controllers/productController.js<br>export function getAll(req, res) {<br>  const filtered = products.filter(p =&gt; p.inStock);<br>  res.json(filtered);<br>}</pre>	<p style="text-align:left">The <b>controller is reaching into the data array</b>. Data access belongs in the repository and the filtering rule belongs in the service.</p>	m4 layers
What is wrong with this validation middleware?<pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">function validate(req, res, next) {<br>  if (!req.body.name) res.status(400).json({ error: &#x27;Name required&#x27; });<br>  next();<br>}</pre>	<p style="text-align:left"><code>next()</code> runs <b>even after</b> the 400 is sent, so the controller also responds and you get <code>ERR_HTTP_HEADERS_SENT</code>.</p><p style="text-align:left"><b>Fix:</b> <code>return res.status(400).json(...)</code>, and call <code>next()</code> only on the success path.</p>	m4 validation middleware
With <code>express-validator</code>, why must <code>validationResult(req)</code> live in a separate handler?	<p style="text-align:left">The <code>body()</code> / <code>param()</code> chain only <b>records</b> results onto the request — it never responds. A following handler reads them and decides:</p><pre style="background:#f4f4f4;padding:6px;border-radius:4px;text-align:left">export function handleValidationErrors(req, res, next) {<br>  const errors = validationResult(req);<br>  if (!errors.isEmpty()) {<br>    return res.status(400).json({ errors: errors.array().map(e =&gt; e.msg) });<br>  }<br>  next();<br>}</pre>	m4 validation
